% Dataset generado por EcoFinance para validacion en Weka Explorer
% Abrir este archivo en Weka Explorer > Preprocess
% Class attribute: target_high_risk {0,1}

@relation ecofinance_risk_training

@attribute expense numeric
@attribute income numeric
@attribute investment numeric
@attribute tx_count numeric
@attribute avg_amount numeric
@attribute outflow numeric
@attribute spend_income_ratio numeric
@attribute net_balance numeric
@attribute target_high_risk {0,1}

@data
1465.480000,1710.120000,58.940000,14.000000,231.038571,1524.420000,0.891411,185.700000,0
1139.990000,1790.610000,76.820000,16.000000,187.963750,1216.810000,0.679551,573.800000,0
1238.480000,1714.120000,82.930000,19.000000,159.764737,1321.410000,0.770897,392.710000,0
1317.260000,1681.040000,62.740000,14.000000,218.645714,1380.000000,0.820920,301.040000,0
1211.090000,1750.820000,71.080000,15.000000,202.199333,1282.170000,0.732325,468.650000,0
371366.600000,1151699.130000,11400060.970000,25.000000,516925.068000,11771427.570000,10.220923,-10619728.440000,1
2271.930000,2664.840000,406.520000,11.000000,485.753636,2678.450000,1.005107,-13.610000,1
1977.570000,2290.000000,526.930000,13.000000,368.807692,2504.500000,1.093668,-214.500000,1
1979.640000,2743.430000,463.030000,21.000000,246.957143,2442.670000,0.890371,300.760000,0
1722.770000,2883.770000,384.490000,13.000000,383.925385,2107.260000,0.730731,776.510000,0
2040.980000,2468.660000,556.960000,21.000000,241.266667,2597.940000,1.052368,-129.280000,1
1252136.410000,2675.850000,250437.500000,19.000000,79223.671579,1502573.910000,561.531442,-1499898.060000,1
900.560000,1279.130000,109.920000,20.000000,114.480500,1010.480000,0.789974,268.650000,0
951.890000,1198.600000,123.720000,21.000000,108.295714,1075.610000,0.897389,122.990000,0
653.760000,1058.630000,83.920000,14.000000,128.307857,737.680000,0.696825,320.950000,0
680.270000,974.970000,107.370000,15.000000,117.507333,787.640000,0.807861,187.330000,0
820.760000,1244.980000,118.900000,19.000000,114.981053,939.660000,0.754759,305.320000,0
960.840000,1157.240000,142.320000,15.000000,150.693333,1103.160000,0.953268,54.080000,1
1312.700000,2029.180000,0.000000,19.000000,175.888421,1312.700000,0.646912,716.480000,0
1686.640000,2236.010000,468.400000,22.000000,199.593182,2155.040000,0.963788,80.970000,1
1395.510000,1683.710000,153.790000,14.000000,230.929286,1549.300000,0.920170,134.410000,1
1619.350000,1814.240000,203.580000,10.000000,363.717000,1822.930000,1.004790,-8.690000,1
1438.290000,1994.580000,203.060000,17.000000,213.878235,1641.350000,0.822905,353.230000,0
1654.920000,2007.840000,0.000000,14.000000,261.625714,1654.920000,0.824229,352.920000,0
0.000000,0.000000,247.880000,1.000000,247.880000,247.880000,0.000000,-247.880000,1
1426.510000,1757.760000,166.410000,11.000000,304.607273,1592.920000,0.906222,164.840000,1
1731.680000,1975.490000,256.220000,21.000000,188.732857,1987.900000,1.006282,-12.410000,1
1342.610000,1772.860000,156.230000,10.000000,327.170000,1498.840000,0.845436,274.020000,0
1384.720000,1813.240000,200.320000,20.000000,169.914000,1585.040000,0.874148,228.200000,0
1301.580000,1999.210000,146.010000,14.000000,246.200000,1447.590000,0.724081,551.620000,0
1354.530000,1626.430000,114.990000,16.000000,193.496875,1469.520000,0.903525,156.910000,1
1193.410000,1782.270000,152.460000,21.000000,148.959048,1345.870000,0.755144,436.400000,0
1438.120000,1849.080000,231.930000,20.000000,175.956500,1670.050000,0.903179,179.030000,1
1531.160000,1670.120000,242.990000,12.000000,287.022500,1774.150000,1.062289,-104.030000,1
1773.840000,2025.510000,274.900000,17.000000,239.661765,2048.740000,1.011469,-23.230000,1
1318.960000,2036.380000,258.560000,14.000000,258.135714,1577.520000,0.774669,458.860000,0
1644.430000,2014.870000,164.470000,11.000000,347.615455,1808.900000,0.897775,205.970000,0
339.270000,524.400000,34.330000,20.000000,44.900000,373.600000,0.712433,150.800000,0
451.950000,547.580000,47.440000,15.000000,69.798000,499.390000,0.911995,48.190000,1
283.830000,472.330000,39.860000,10.000000,79.602000,323.690000,0.685305,148.640000,0
442.700000,555.660000,54.950000,14.000000,75.236429,497.650000,0.895602,58.010000,0
345.360000,543.170000,27.760000,12.000000,76.357500,373.120000,0.686930,170.050000,0
466.020000,576.680000,29.830000,11.000000,97.502727,495.850000,0.859836,80.830000,0
750.480000,957.190000,0.000000,14.000000,121.976429,750.480000,0.784045,206.710000,0
610.920000,741.260000,156.290000,19.000000,79.393158,767.210000,1.035008,-25.950000,1
717.960000,925.740000,108.310000,21.000000,83.429048,826.270000,0.892551,99.470000,0
493.490000,869.370000,104.390000,21.000000,69.869048,597.880000,0.687716,271.490000,0
787.940000,893.640000,75.920000,10.000000,175.750000,863.860000,0.966676,29.780000,1
737.390000,893.780000,125.580000,14.000000,125.482143,862.970000,0.965528,30.810000,1
676.010000,952.260000,199.020000,15.000000,121.819333,875.030000,0.918898,77.230000,1
529.070000,811.440000,121.750000,14.000000,104.447143,650.820000,0.802056,160.620000,0
594.480000,846.750000,133.340000,14.000000,112.469286,727.820000,0.859545,118.930000,0
613.300000,880.470000,186.240000,16.000000,105.000625,799.540000,0.908083,80.930000,1
613.090000,941.240000,159.360000,17.000000,100.805294,772.450000,0.820673,168.790000,0
578.510000,857.520000,91.070000,17.000000,89.829412,669.580000,0.780833,187.940000,0
2442.650000,2397.110000,0.000000,12.000000,403.313333,2442.650000,1.018998,-45.540000,1
2278.620000,2396.890000,548.570000,21.000000,248.765714,2827.190000,1.179524,-430.300000,1
1887.190000,2003.110000,194.640000,19.000000,214.996842,2081.830000,1.039299,-78.720000,1
2158.410000,2434.940000,211.440000,14.000000,343.199286,2369.850000,0.973268,65.090000,1
1804.890000,2130.430000,197.470000,21.000000,196.799524,2002.360000,0.939885,128.070000,1
2600.540000,2584.980000,257.320000,19.000000,286.465263,2857.860000,1.105564,-272.880000,1
466.960000,605.450000,69.260000,12.000000,95.139167,536.220000,0.885655,69.230000,0
500.950000,778.050000,86.040000,16.000000,85.315000,586.990000,0.754437,191.060000,0
551.410000,772.520000,100.300000,10.000000,142.423000,651.710000,0.843616,120.810000,0
430.890000,654.110000,0.000000,18.000000,60.277778,430.890000,0.658742,223.220000,0
428.880000,775.120000,150.420000,12.000000,112.868333,579.300000,0.747368,195.820000,0
577.590000,812.220000,63.460000,18.000000,80.737222,641.050000,0.789257,171.170000,0
2175.150000,2297.680000,278.230000,16.000000,296.941250,2453.380000,1.067764,-155.700000,1
1586.980000,2336.320000,244.430000,17.000000,245.160588,1831.410000,0.783887,504.910000,0
1487.720000,2199.870000,240.590000,11.000000,357.107273,1728.310000,0.785642,471.560000,0
1674.220000,2062.500000,214.330000,21.000000,188.145238,1888.550000,0.915661,173.950000,1
1295.380000,1769.230000,145.220000,12.000000,267.485833,1440.600000,0.814253,328.630000,0
1868.380000,2116.940000,285.620000,19.000000,224.786316,2154.000000,1.017506,-37.060000,1
1520.570000,1810.020000,81.530000,21.000000,162.481905,1602.100000,0.885128,207.920000,0
1497.420000,1810.760000,90.460000,17.000000,199.920000,1587.880000,0.876914,222.880000,0
1650.200000,1858.240000,84.690000,13.000000,276.394615,1734.890000,0.933620,123.350000,1
1590.140000,1934.230000,62.030000,16.000000,224.150000,1652.170000,0.854175,282.060000,0
1763.580000,1923.640000,75.720000,11.000000,342.085455,1839.300000,0.956156,84.340000,1
1284.220000,1929.050000,112.880000,18.000000,184.786111,1397.100000,0.724243,531.950000,0
1876.870000,2587.290000,348.840000,21.000000,229.190476,2225.710000,0.860248,361.580000,0
1776.990000,2368.950000,287.830000,20.000000,221.688500,2064.820000,0.871618,304.130000,0
1899.920000,2144.960000,243.690000,16.000000,268.035625,2143.610000,0.999371,1.350000,1
2061.570000,2551.260000,193.180000,10.000000,480.601000,2254.750000,0.883779,296.510000,0
2373.680000,2783.270000,342.160000,21.000000,261.862381,2715.840000,0.975773,67.430000,1
1757.400000,2410.090000,269.060000,11.000000,403.322727,2026.460000,0.840823,383.630000,0
2130.370000,2217.320000,305.310000,14.000000,332.357143,2435.680000,1.098479,-218.360000,1
1906.080000,2367.920000,262.020000,10.000000,453.602000,2168.100000,0.915614,199.820000,1
1970.770000,2457.740000,289.460000,18.000000,262.109444,2260.230000,0.919638,197.510000,1
1714.910000,2275.000000,311.350000,15.000000,286.750667,2026.260000,0.890664,248.740000,0
2185.590000,2615.750000,309.630000,10.000000,511.097000,2495.220000,0.953921,120.530000,1
1698.130000,2497.120000,277.370000,10.000000,447.262000,1975.500000,0.791111,521.620000,0
684.960000,866.130000,108.770000,20.000000,82.993000,793.730000,0.916410,72.400000,1
745.600000,942.130000,87.840000,20.000000,88.778500,833.440000,0.884634,108.690000,0
618.510000,846.040000,82.030000,15.000000,103.105333,700.540000,0.828022,145.500000,0
874.170000,923.750000,82.970000,15.000000,125.392667,957.140000,1.036146,-33.390000,1
815.430000,902.350000,51.860000,21.000000,84.268571,867.290000,0.961146,35.060000,1
801.140000,878.330000,78.860000,17.000000,103.431176,880.000000,1.001901,-1.670000,1
1083.430000,1200.670000,79.640000,19.000000,124.407368,1163.070000,0.968684,37.600000,1
1305.590000,1396.440000,109.800000,15.000000,187.455333,1415.390000,1.013570,-18.950000,1
1202.700000,1680.360000,149.280000,10.000000,303.234000,1351.980000,0.804578,328.380000,0
1043.120000,1262.880000,78.120000,18.000000,132.451111,1121.240000,0.887844,141.640000,0
1565.430000,1714.940000,139.510000,17.000000,201.169412,1704.940000,0.994169,10.000000,1
1130.930000,1473.000000,114.410000,20.000000,135.917000,1245.340000,0.845445,227.660000,0
994.560000,1763.920000,261.500000,11.000000,274.543636,1256.060000,0.712084,507.860000,0
1134.830000,1790.050000,271.310000,17.000000,188.011176,1406.140000,0.785531,383.910000,0
1114.570000,1647.200000,353.010000,14.000000,222.484286,1467.580000,0.890954,179.620000,0
1234.600000,1861.000000,278.820000,14.000000,241.030000,1513.420000,0.813229,347.580000,0
1339.890000,2081.120000,284.950000,20.000000,185.298000,1624.840000,0.780753,456.280000,0
1285.790000,1855.600000,294.010000,21.000000,163.590476,1579.800000,0.851369,275.800000,0
1123.340000,1440.360000,165.930000,17.000000,160.566471,1289.270000,0.895103,151.090000,0
1029.930000,1511.850000,114.970000,12.000000,221.395833,1144.900000,0.757284,366.950000,0
1390.800000,1541.790000,132.820000,17.000000,180.318235,1523.620000,0.988215,18.170000,1
1076.740000,1417.090000,90.380000,13.000000,198.785385,1167.120000,0.823603,249.970000,0
1248.130000,1739.410000,96.040000,10.000000,308.358000,1344.170000,0.772774,395.240000,0
1146.610000,1403.050000,145.100000,13.000000,207.289231,1291.710000,0.920644,111.340000,1
516.110000,754.210000,10.860000,18.000000,71.176667,526.970000,0.698705,227.240000,0
601.670000,705.500000,17.180000,20.000000,66.217500,618.850000,0.877179,86.650000,0
710.470000,817.630000,25.770000,17.000000,91.404118,736.240000,0.900456,81.390000,1
714.420000,826.220000,24.100000,12.000000,130.395000,738.520000,0.893854,87.700000,0
614.380000,717.250000,0.000000,19.000000,70.085789,614.380000,0.856577,102.870000,0
556.030000,719.970000,32.630000,11.000000,118.966364,588.660000,0.817617,131.310000,0
1981.110000,2433.070000,286.560000,18.000000,261.152222,2267.670000,0.932020,165.400000,1
2075.630000,2478.010000,297.680000,21.000000,231.015238,2373.310000,0.957748,104.700000,1
2351.830000,2775.250000,369.180000,19.000000,289.276842,2721.010000,0.980456,54.240000,1
2424.660000,2456.060000,244.540000,18.000000,284.736667,2669.200000,1.086781,-213.140000,1
1653.990000,2446.590000,213.620000,13.000000,331.861538,1867.610000,0.763352,578.980000,0
2116.440000,2176.810000,214.130000,18.000000,250.410000,2330.570000,1.070635,-153.760000,1
1555.230000,1928.340000,255.020000,13.000000,287.583846,1810.250000,0.938761,118.090000,1
1619.070000,2152.150000,147.060000,13.000000,301.406154,1766.130000,0.820635,386.020000,0
1597.400000,2053.600000,185.980000,10.000000,383.698000,1783.380000,0.868416,270.220000,0
1687.460000,1906.460000,133.650000,13.000000,286.736154,1821.110000,0.955231,85.350000,1
1337.150000,1834.360000,191.790000,15.000000,224.220000,1528.940000,0.833501,305.420000,0
1547.040000,1828.990000,131.870000,14.000000,250.564286,1678.910000,0.917944,150.080000,1
497.130000,544.530000,58.050000,14.000000,78.550714,555.180000,1.019558,-10.650000,1
574.710000,609.060000,70.390000,20.000000,62.708000,645.100000,1.059173,-36.040000,1
424.900000,512.780000,35.850000,20.000000,48.676500,460.750000,0.898533,52.030000,0
485.840000,646.850000,69.660000,16.000000,75.146875,555.500000,0.858777,91.350000,0
516.300000,551.860000,52.810000,11.000000,101.906364,569.110000,1.031258,-17.250000,1
425.390000,412.500000,59.250000,15.000000,59.809333,484.640000,1.174885,-72.140000,1
755.780000,1096.460000,125.170000,12.000000,164.784167,880.950000,0.803449,215.510000,0
721.430000,931.050000,74.090000,20.000000,86.328500,795.520000,0.854433,135.530000,0
768.450000,1090.230000,113.800000,10.000000,197.248000,882.250000,0.809233,207.980000,0
600.350000,1197.590000,160.420000,15.000000,130.557333,760.770000,0.635251,436.820000,0
642.580000,976.820000,108.050000,16.000000,107.965625,750.630000,0.768442,226.190000,0
597.040000,972.230000,65.680000,19.000000,86.050000,662.720000,0.681649,309.510000,0
779.810000,1066.930000,0.000000,11.000000,167.885455,779.810000,0.730891,287.120000,0
693.470000,1078.070000,234.820000,15.000000,133.757333,928.290000,0.861067,149.780000,0
642.820000,1136.520000,121.800000,14.000000,135.795714,764.620000,0.672773,371.900000,0
739.930000,1182.520000,113.820000,16.000000,127.266875,853.750000,0.721975,328.770000,0
768.810000,1113.870000,119.440000,15.000000,133.474667,888.250000,0.797445,225.620000,0
701.660000,1094.710000,0.000000,15.000000,119.758000,701.660000,0.640955,393.050000,0
0.000000,0.000000,117.690000,1.000000,117.690000,117.690000,0.000000,-117.690000,1
1461.960000,1730.460000,206.430000,10.000000,339.885000,1668.390000,0.964131,62.070000,1
1444.650000,1876.940000,329.140000,14.000000,260.766429,1773.790000,0.945044,103.150000,1
1437.240000,1943.680000,299.300000,20.000000,184.011000,1736.540000,0.893429,207.140000,0
1719.740000,1958.760000,224.000000,20.000000,195.125000,1943.740000,0.992332,15.020000,1
1521.730000,1788.570000,238.890000,12.000000,295.765833,1760.620000,0.984373,27.950000,1
1380.260000,1804.200000,196.080000,18.000000,187.807778,1576.340000,0.873706,227.860000,0
1342.580000,2031.840000,171.100000,13.000000,272.732308,1513.680000,0.744980,518.160000,0
1532.910000,2065.330000,192.960000,19.000000,199.536842,1725.870000,0.835639,339.460000,0
1529.370000,1879.200000,151.020000,13.000000,273.814615,1680.390000,0.894205,198.810000,0
1572.040000,2312.890000,102.210000,13.000000,306.703077,1674.250000,0.723878,638.640000,0
1253.920000,2002.560000,133.390000,11.000000,308.170000,1387.310000,0.692768,615.250000,0
1355.040000,1866.890000,173.250000,17.000000,199.716471,1528.290000,0.818629,338.600000,0
1592.770000,1605.440000,86.460000,13.000000,252.666923,1679.230000,1.045962,-73.790000,1
1566.970000,1875.510000,103.460000,11.000000,322.358182,1670.430000,0.890654,205.080000,0
1566.790000,1750.730000,124.360000,16.000000,215.117500,1691.150000,0.965968,59.580000,1
1156.160000,1737.950000,97.030000,10.000000,299.114000,1253.190000,0.721074,484.760000,0
1423.190000,1714.380000,75.060000,15.000000,214.175333,1498.250000,0.873931,216.130000,0
1552.240000,1897.280000,151.160000,18.000000,200.037778,1703.400000,0.897812,193.880000,0
1511.580000,1881.440000,135.120000,11.000000,320.740000,1646.700000,0.875234,234.740000,0
1466.190000,1723.070000,193.950000,20.000000,169.160500,1660.140000,0.963478,62.930000,1
1493.650000,2041.940000,242.730000,12.000000,314.860000,1736.380000,0.850358,305.560000,0
1360.650000,2059.430000,257.270000,12.000000,306.445833,1617.920000,0.785615,441.510000,0
1430.450000,1972.520000,144.650000,18.000000,197.090000,1575.100000,0.798522,397.420000,0
1060.120000,1840.900000,195.870000,18.000000,172.049444,1255.990000,0.682270,584.910000,0
1328.000000,1511.650000,68.850000,21.000000,138.500000,1396.850000,0.924056,114.800000,1
1021.310000,1427.570000,61.570000,13.000000,193.111538,1082.880000,0.758548,344.690000,0
1340.820000,1455.600000,98.480000,17.000000,170.288235,1439.300000,0.988802,16.300000,1
912.120000,1333.840000,53.370000,20.000000,114.966500,965.490000,0.723842,368.350000,0
1239.200000,1347.810000,68.190000,10.000000,265.520000,1307.390000,0.970011,40.420000,1
1308.650000,1562.360000,58.920000,16.000000,183.120625,1367.570000,0.875323,194.790000,0
1677.110000,2155.520000,0.000000,16.000000,239.539375,1677.110000,0.778054,478.410000,0
1769.990000,2256.810000,367.460000,13.000000,338.020000,2137.450000,0.947111,119.360000,1
1812.510000,2242.150000,108.060000,19.000000,219.090526,1920.570000,0.856575,321.580000,0
1360.460000,1841.300000,132.860000,17.000000,196.154118,1493.320000,0.811014,347.980000,0
1601.180000,2286.270000,240.040000,18.000000,229.305000,1841.220000,0.805338,445.050000,0
1306.360000,1974.480000,0.000000,17.000000,192.990588,1306.360000,0.661622,668.120000,0
0.000000,0.000000,131.380000,1.000000,131.380000,131.380000,0.000000,-131.380000,1
1902.550000,2273.000000,154.410000,16.000000,270.622500,2056.960000,0.904954,216.040000,1
2510.530000,2501.080000,225.440000,12.000000,436.420833,2735.970000,1.093915,-234.890000,1
1921.960000,2426.000000,238.860000,19.000000,241.411579,2160.820000,0.890692,265.180000,0
2133.230000,2622.390000,195.590000,14.000000,353.657857,2328.820000,0.888053,293.570000,0
2163.400000,2171.910000,115.700000,12.000000,370.917500,2279.100000,1.049353,-107.190000,1
2219.720000,2007.590000,170.660000,16.000000,274.873125,2390.380000,1.190671,-382.790000,1
676.760000,792.310000,0.000000,18.000000,81.615000,676.760000,0.854161,115.550000,0
694.270000,753.250000,84.560000,22.000000,69.640000,778.830000,1.033960,-25.580000,1
706.690000,751.520000,31.040000,15.000000,99.283333,737.730000,0.981651,13.790000,1
779.970000,897.270000,54.350000,17.000000,101.858235,834.320000,0.929843,62.950000,1
710.790000,861.930000,43.340000,16.000000,101.003750,754.130000,0.874932,107.800000,0
693.400000,854.710000,47.440000,17.000000,93.855882,740.840000,0.866774,113.870000,0
1350.100000,1936.620000,391.400000,17.000000,216.360000,1741.500000,0.899247,195.120000,0
1233.470000,1848.030000,265.290000,16.000000,209.174375,1498.760000,0.811004,349.270000,0
1265.870000,2137.740000,247.140000,11.000000,331.886364,1513.010000,0.707761,624.730000,0
1435.520000,1879.290000,410.500000,18.000000,206.961667,1846.020000,0.982297,33.270000,1
1289.670000,1960.580000,0.000000,12.000000,270.854167,1289.670000,0.657800,670.910000,0
1527.250000,2155.620000,578.140000,12.000000,355.084167,2105.390000,0.976698,50.230000,1
682.850000,809.960000,25.030000,18.000000,84.324444,707.880000,0.873969,102.080000,0
689.010000,805.550000,0.000000,10.000000,149.456000,689.010000,0.855329,116.540000,0
698.400000,767.770000,63.860000,20.000000,76.501500,762.260000,0.992823,5.510000,1
580.310000,774.170000,25.590000,13.000000,106.159231,605.900000,0.782645,168.270000,0
665.680000,782.520000,19.930000,19.000000,77.270000,685.610000,0.876157,96.910000,0
633.300000,782.690000,32.570000,17.000000,85.209412,665.870000,0.850746,116.820000,0
2124.820000,2403.990000,137.970000,10.000000,466.678000,2262.790000,0.941264,141.200000,1
1687.160000,2331.790000,132.930000,14.000000,296.562857,1820.090000,0.780555,511.700000,0
1607.070000,2107.700000,153.710000,17.000000,227.557647,1760.780000,0.835404,346.920000,0
1536.150000,2325.360000,136.560000,14.000000,285.576429,1672.710000,0.719334,652.650000,0
1571.820000,2199.920000,104.520000,21.000000,184.583810,1676.340000,0.762000,523.580000,0
1544.530000,2489.830000,132.490000,17.000000,245.108824,1677.020000,0.673548,812.810000,0
1217.250000,1471.540000,170.710000,15.000000,190.633333,1387.960000,0.943202,83.580000,1
933.360000,1347.570000,105.340000,11.000000,216.933636,1038.700000,0.770795,308.870000,0
1005.860000,1226.780000,105.220000,15.000000,155.857333,1111.080000,0.905688,115.700000,1
1170.170000,1483.680000,78.880000,17.000000,160.748824,1249.050000,0.841859,234.630000,0
1076.740000,1493.040000,162.570000,10.000000,273.235000,1239.310000,0.830058,253.730000,0
1407.650000,1576.170000,118.420000,15.000000,206.816000,1526.070000,0.968214,50.100000,1
1166.330000,1561.490000,127.090000,21.000000,135.948095,1293.420000,0.828324,268.070000,0
1198.370000,1771.280000,205.580000,13.000000,244.248462,1403.950000,0.792619,367.330000,0
1203.810000,1385.280000,109.870000,15.000000,179.930667,1313.680000,0.948314,71.600000,1
1255.210000,1501.160000,0.000000,16.000000,172.273125,1255.210000,0.836160,245.950000,0
1109.520000,1417.590000,245.400000,13.000000,213.270000,1354.920000,0.955791,62.670000,1
1411.060000,1667.360000,164.360000,14.000000,231.627143,1575.420000,0.944859,91.940000,1
904.650000,1081.460000,0.000000,16.000000,124.131875,904.650000,0.836508,176.810000,0
975.790000,1037.260000,143.440000,12.000000,179.707500,1119.230000,1.079026,-81.970000,1
864.510000,943.730000,99.720000,19.000000,100.418947,964.230000,1.021722,-20.500000,1
884.810000,1089.190000,128.100000,16.000000,131.381250,1012.910000,0.929966,76.280000,1
1001.830000,1069.510000,104.070000,18.000000,120.856111,1105.900000,1.034025,-36.390000,1
812.330000,1070.100000,112.460000,11.000000,181.353636,924.790000,0.864209,145.310000,0
731.480000,942.340000,197.170000,14.000000,133.642143,928.650000,0.985472,13.690000,1
516.740000,773.080000,86.170000,11.000000,125.090000,602.910000,0.779880,170.170000,0
605.400000,885.410000,120.610000,19.000000,84.811579,726.010000,0.819970,159.400000,0
666.310000,942.470000,0.000000,10.000000,160.878000,666.310000,0.706983,276.160000,0
